identifier,transaction_count,avg_price_eth,max_price_eth,min_price_eth,total_volume_eth,unique_buyers,unique_sellers
8752,4,0.844175,2.75,0.0777,3.3767,1,1
8692,4,3.01725,10.069,0.25,12.069,1,1
8683,5,6.55038,11.0,0.2222,32.7519,1,1
8738,11,5.853454545454546,18.3,1.05,64.388,1,1
8672,4,3.409725,10.5,0.0469,13.6389,1,1
8726,10,5.6902,24.75,0.25,56.902,1,1
8716,9,3.5316666666666667,6.75,1.19,31.785,1,1
8753,10,7.66169,17.777,0.0899,76.6169,1,1
8690,3,11.448933333333335,13.5678,8.81,34.3468,1,1
8759,2,3.874,7.7,0.048,7.748,1,1
8727,5,5.264,8.5,0.38,26.32,1,1
8671,23,10.371114956521739,40.0,0.0469,238.535644,1,1
8678,13,1.1532283076923078,3.3,0.2222,14.991968,1,1
8676,18,4.940484388888889,12.66,0.052,88.928719,1,1
8730,32,6.0711390625,17.5,0.04,194.27645,1,1
8699,2,2.5,3.3,1.7,5.0,1,1
8728,6,1.4165,3.83,0.25,8.499,1,1
8702,1,5.08,5.08,5.08,5.08,1,1
8765,31,5.086774193548387,19.45,0.449,157.69,1,1
8710,4,6.485,10.15,0.99,25.94,1,1
8693,19,9.397647368421053,22.8,0.4444,178.5553,1,1
8750,16,7.3164406875,20.1279,0.04,117.063051,1,1
8731,3,0.11,0.25,0.03,0.33,1,1
8705,3,3.2100000000000004,4.0,1.99,9.63,1,1
8772,2,0.14,0.19,0.09,0.28,1,1
8754,7,8.546214142857142,23.499999,0.254,59.823499,1,1
8757,38,3.9948420789473684,5.65,0.055,151.803999,1,1
8720,1,1.5,1.5,1.5,1.5,1,1
8715,1,1.85,1.85,1.85,1.85,1,1
8737,78,5.9401785897435895,31.69,0.853,463.33393,1,1
8761,20,7.057264999999999,16.5,0.054,141.1453,1,1
8713,28,8.762563107142856,16.13,2.5,245.351767,1,1
8722,8,6.1712711250000005,11.768169,0.059,49.370169000000004,1,1
8673,7,1.5609857142857142,2.66,0.0469,10.9269,1,1
8748,3,0.7666666666666666,1.25,0.05,2.3,1,1
8732,2,0.6698999999999999,0.9398,0.4,1.3397999999999999,1,1
8719,5,4.454,6.57,1.5,22.27,1,1
8741,33,8.475248151515153,20.4795,1.44,279.683189,1,1
8756,14,12.226303571428572,36.95,0.252,171.16825,1,1
8706,14,9.07555,22.0,0.9789,127.0577,1,1
